file,line_or_label,current_claim,current_numeric_value,authoritative_replacement_source,required_action,revision_status
paper/supplemental.tex,sec:H4,"Old Holm value and near-significant framing","0.115",results/primary_corrected/effect_coded/corrected_confirmatory_hypotheses.csv,"Correct H4 and use unresolved language",pending
paper/supplemental.tex,tab:confirmatory-summary,"Historical primary family","H1 0.00435/400; H2 0.025; H3 -0.00096; H4 Holm 0.115",results/final_submission_v1/final_numerical_results.csv,"Replace complete table",pending
paper/supplemental.tex,bootstrap prose,"n terminology for iterations","n=443; n=400",verification/final_numerical_results_freeze.md,"Use completed bootstrap fits/iterations",pending
paper/supplemental.tex,A.7-A.8,"Historical independent-seed H2 package presented prominently","H2 0.049294 vs 0.024996",verification/final_numerical_results_freeze.md,"Retain only explicitly labeled historical audit if scientifically traceable",pending
paper/supplemental.tex,reproducibility-index,"Historical output paths/counts",,results/final_submission_v1/manifest.json,"Update for all frozen components and tag",pending
paper/scripts/make_fig1_forest.py,entire script,"Reads historical H1 400-draw and old H2-H4 values","400/443",results/primary_corrected/effect_coded/,"Change render inputs to frozen corrected files only",pending
paper/scripts/make_fig0_el_primary.py,labels/docstrings,"Internal ambiguous I_EL/J_EL identifiers remain despite output labels","I_EL/J_EL",paper/figure_data/fig0_el_primary_source.csv,"Preserve frozen source; clarify labels/tests without raw regeneration",pending
paper/figures/fig1_confirmatory_forest.pdf,figure,"Historical primary intervals",,results/primary_corrected/effect_coded/,"Regenerate render only",pending
paper/figure_data/fig0_el_primary_source.csv,source,"Already reconciled frozen R=0 source","I_EL_given_R0; J_EL_given_R0",verification/figure_source_reconciliation_results.json,"Do not modify; integrate caption",pending
README.md,overview,"Old title/mitigation framing and submission paths",,verification/final_numerical_results_freeze.md,"Update title/build instructions after scientific text freeze",pending
results_and_discussion.md,legacy narrative,"Superseded primary H1 and final-performance terminology","0.004346",results/superseded/direct_01_factor_coding/,"Label clearly as historical/superseded or remove from submission references",pending
